                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2493,                 6.5425,                 1.3963,                0.01114,                0.01714,                0.00627,                 0.0032,                 1.8246,                 8.8363,                 1.2382,              4.669e-05,              4.669e-05,              4.669e-05
                      2,                 1.7394,                 4.1552,                 1.1463,                0.11564,                0.11405,                0.02142,                0.01081,                 1.6338,                 8.5978,                 1.0805,             9.6088e-05,             9.6088e-05,             9.6088e-05
                      3,                 1.4675,                 3.0291,                 1.0605,                0.13065,                0.14538,                0.03853,                0.02516,                 1.4786,                 11.674,                  1.011,             0.00014126,             0.00014126,             0.00014126
                      4,                 1.4565,                 2.5779,                 1.0104,                 0.1641,                0.14917,                0.09702,                 0.0641,                 1.4716,                  4.745,                 1.0005,             0.00018221,             0.00018221,             0.00018221
                      5,                 1.3296,                 2.1057,                 1.0113,                0.26614,                0.30895,                0.19451,                0.11914,                 1.5081,                   3.73,                 1.0043,             0.00021893,             0.00021893,             0.00021893
                      6,                 1.3267,                 1.9074,                 1.0085,                  0.374,                0.32931,                0.29615,                0.19842,                 1.4772,                 2.7028,                 1.0124,             0.00025142,             0.00025142,             0.00025142
                      7,                 1.2732,                  1.699,                 1.0037,                0.46995,                0.31844,                 0.3264,                0.22563,                 1.4533,                 2.6377,                 1.0173,             0.00027969,             0.00027969,             0.00027969
                      8,                 1.2358,                 1.4729,                 1.0022,                0.48539,                0.33895,                0.37637,                0.24247,                 1.4733,                 2.5971,                 1.0218,             0.00030373,             0.00030373,             0.00030373
                      9,                 1.1772,                 1.3724,                0.99511,                0.58014,                0.53356,                0.52916,                0.34823,                 1.4549,                 1.8577,                 1.0194,             0.00032354,             0.00032354,             0.00032354
                     10,                 1.2671,                  1.318,                 1.0281,                 0.5716,                0.44923,                0.49466,                0.31603,                 1.4798,                 2.1906,                  1.028,             0.00033913,             0.00033913,             0.00033913
                     11,                 1.2672,                 1.2016,                  1.004,                 0.7124,                0.55612,                0.61366,                0.39455,                 1.4592,                  1.575,                  1.035,              0.0003505,              0.0003505,              0.0003505
                     12,                  1.153,                 1.0998,                0.99016,                0.67022,                0.60066,                0.60217,                0.38683,                 1.4799,                 1.8074,                 1.0411,             0.00035763,             0.00035763,             0.00035763
                     13,                 1.1657,                  1.033,                0.99049,                0.77561,                0.56687,                0.64844,                 0.4074,                 1.4717,                 1.4727,                 1.0381,             0.00035004,             0.00035004,             0.00035004
                     14,                 1.1617,                 1.0012,                      1,                0.77301,                0.58704,                 0.6565,                0.41436,                 1.4687,                 1.5344,                 1.0362,             0.00032363,             0.00032363,             0.00032363
                     15,                 1.1736,                 1.0319,                 1.0237,                0.80939,                0.61819,                 0.6873,                0.43529,                 1.4519,                 1.3721,                 1.0423,             0.00029722,             0.00029722,             0.00029722
                     16,                 1.1422,                0.98451,                 1.0012,                0.83456,                0.64133,                0.70167,                0.44052,                 1.4611,                 1.3124,                 1.0588,              0.0002708,              0.0002708,              0.0002708
                     17,                  1.127,                0.87238,                0.96034,                0.84617,                0.63488,                0.73004,                0.46249,                 1.4432,                 1.2102,                 1.0491,             0.00024439,             0.00024439,             0.00024439
                     18,                 1.1511,                0.87723,                0.97941,                0.80958,                0.66581,                0.73686,                0.46389,                 1.4424,                 1.1724,                 1.0403,             0.00021798,             0.00021798,             0.00021798
                     19,                  1.128,                0.84002,                 1.0041,                0.83145,                0.65036,                0.74524,                0.46907,                 1.4501,                 1.1358,                 1.0367,             0.00019156,             0.00019156,             0.00019156
                     20,                 1.0915,                0.79287,                0.98638,                0.80288,                0.66975,                0.74479,                0.47318,                 1.4309,                 1.1054,                 1.0277,             0.00016515,             0.00016515,             0.00016515
                     21,                  1.075,                0.77059,                0.96306,                 0.8086,                0.69329,                0.75463,                0.47911,                 1.4349,                 1.0924,                 1.0322,             0.00013874,             0.00013874,             0.00013874
                     22,                 1.0932,                0.77566,                0.95189,                0.87716,                0.68434,                0.76619,                0.48094,                  1.448,                 1.0711,                 1.0447,             0.00011232,             0.00011232,             0.00011232
                     23,                  1.092,                0.76854,                0.97153,                0.90531,                0.67987,                0.76865,                0.47956,                 1.4412,                  1.045,                  1.044,              8.591e-05,              8.591e-05,              8.591e-05
                     24,                 1.1011,                0.74433,                0.97994,                0.92623,                0.67972,                 0.7719,                0.47691,                  1.431,                 1.0317,                 1.0391,             5.9496e-05,             5.9496e-05,             5.9496e-05
                     25,                 1.1113,                0.74984,                0.99199,                0.92288,                0.67826,                0.77215,                0.47905,                 1.4282,                  1.023,                  1.036,             3.3083e-05,             3.3083e-05,             3.3083e-05
